Job_id,Job,Company Name,location,Industry,Employee Count,LinkedIn_Followers,Involvement,Level ,Total_Applicants
J328,Database Administrator,CSB Bank Limited ,"Chennai, Tamil Nadu, India ",Banking,"5,000","36,447 ",Full-time,Entry ,23
J329,DATA VISUALIZATION,Prodapt,"Chennai, Tamil Nadu, India ",Media Production,"10,000","45,424",Full-time,Entry ,27
J330,Database Tester,Prodapt,"Chennai, Tamil Nadu, India ",Media Production,"10,000","45,424",Full-time,Entry ,26
J331,SQL ( DBA ),Golden Opportunities ,"Chennai, Tamil Nadu, India ",Staffing & Recruiting,200,"80,745",Full-time,Entry ,66
J332,Customer Care Collections Associate,NTT DATA Services,"Chennai, Tamil Nadu, India ",Information Technology & Services,"10,000","4,46,224",Full-time,Entry ,2
J333,Lead System Engineer - Windows,Societe Generale Global Solution Centre ,"Chennai, Tamil Nadu, India ",Information Technology & Services,"10,000","2,24,658",Part-time,NA,32
J334,Hiring Interns across functions,Pickyourtrail ,"Chennai, Tamil Nadu, India ","Leisure, Travel & Tourism",200,"16,636",Internship,Internship,56
J335,Network Engineer,TNQ Technologies ,"Chennai, Tamil Nadu, India ",Publishing,"5,000","21,819 ",Part-time,Mid-Senior,103
J336,Part Time LIC-AGENCY ,LIC ,"Chennai, Tamil Nadu, India ",Insurance,"10,000","98,841",Part-time,NA,0
J337,Operations And ERP Consulting,Avaesa ,"Chennai, Tamil Nadu, India ", Retail ,50,"2,269",Part-time,Internship,7
J338,Summer Internship - Sales,Procter & Gamble,"Chennai, Tamil Nadu, India ",Consumer Goods,"10,000","70,40,644",Part-time,NA,47
J339,Capital Market (Finance) ,Star Fing ,"Chennai, Tamil Nadu, India ",Financial Services,500,"3,946 ",Part-time,Internship,3
J340,Ops Support Assistant,Citi,"Chennai, Tamil Nadu, India ",Financial Services,"10,000","38,13,426",Part-time,NA,6
J341,Assistant Finance Controller,Hilton ,"Chennai, Tamil Nadu, India ",Hospitality,"10,000","16,60,195",Full-time,Enrty,108
J342,COBOL Developer,Zenitus Technologies,"Chennai, Tamil Nadu, India ",Information Technology & Services,50,"2,057",Full-time,Enrty,3
J343,Data Entry Operator,Red Group ,"Chennai, Tamil Nadu, India ",Real Estate,10,"8,672",Full-time,Enrty,30
J344,Associate,BNP Paribas,"Chennai, Tamil Nadu, India ",Banking,"10,000","1,182,856 ",Full-time, Associate,45
J345,housekeeping staff,White Force Group ," Coimbatore, Tamil Nadu, India",Staffing & Recruiting,500,"24,258",Full-time,Entry ,2
J346,.Net Lead - Full Stack Development,QuestWorkx,"Chennai, Tamil Nadu, India",Human Resources ,10,"2,878",Full-time, Associate,0
J347,Global Immigration,ACZ Global Pvt Ltd,"Chennai, Tamil Nadu, India",Human Resources ,50,"5,047",Full-time,Entry ,1
J348,Application Database Administrator: RDBMS,IBM ,"Chennai, Tamil Nadu, India",Information Technology & Services,"10,000","1,44,05,902",Full-time,NA,3
J349,EDI Senior Architect,Lennox India Technology Centre,"Chennai, Tamil Nadu, India",Mechanical Or Industrial Engineering,"1,000","29,271",Full-time, Associate,9
J350,Learning Disabilities Support Worker,Onqanet Technologies Pvt. Ltd.,"Chennai, Tamil Nadu, India",Information Technology & Services,200,814,Full-time,Entry ,5
J351,Project Manager,Barclays,"Chennai, Tamil Nadu, India",Financial Services ,"10,000","12,51,529",Full-time,Mid-Senior,29
J352,Database Administrator,R1 RCM ,"Chennai, Tamil Nadu, India",Hospital & Health Care ,"10,000","98,799",Full-time,NA ,2
J353,3D Designer,Zero Gravity Photography,"Chennai, Tamil Nadu, India",Photography,500,"2,781",Full-time,NA,48
